year,era,population,housing_units,total_res_trillion_btu,electricity_res_trillion_btu,natgas_res_trillion_btu,petroleum_res_trillion_btu,total_mmbtu_per_household,electricity_mmbtu_per_household,total_btu_per_capita,electricity_btu_per_capita,sales_million_kwh,price_cents_per_kwh
2003,Digital Age Explosion,290107933,120988102.0,20343265.0,4353111.0,5223765.0,1546575.0,168142.690592832,35979.661867908304,70123091049.70253,15005142930.717443,1275823.91,8.72
2004,Digital Age Explosion,292805298,122682589.0,20328581.0,4408241.0,4992951.0,1519849.0,165700.61950681527,35932.08323961928,69426957568.23361,15055195483.51888,1291981.578,8.95
2005,Digital Age Explosion,295516599,124377076.0,20844591.0,4637683.0,4957655.0,1450481.0,167591.90415442796,37287.28113852749,70536108870.14844,15693477170.803526,1359227.107,9.45
2006,Digital Age Explosion,298379912,125842606.8,19839294.0,4611386.0,4482650.0,1221852.0,157651.64521369402,36644.07562161212,66490045750.80108,15454746832.957039,1351520.036,10.4
2007,Digital Age Explosion,301231207,127308137.6,20773460.0,4750326.0,4848708.0,1249169.0,163174.64375505876,37313.60845860022,68961845643.0379,15769700780.039036,1392240.996,10.65
2008,Post-Recession Efficiency,304093966,128773668.4,20849966.0,4710818.0,5017569.0,1324511.0,161911.71890230937,36582.1526910854,68564221363.076965,15491323494.396465,1380661.74496,11.26
2009,Post-Recession Efficiency,306771529,130239199.2,20179502.0,4656555.0,4899378.0,1157254.0,154941.8464176183,35753.866950987824,65780230863.601425,15179228056.721,1364758.15298,11.51
2010,Post-Recession Efficiency,308745538,131704730.0,20978522.0,4932757.0,4887375.0,1120150.0,159284.49950127077,37453.14993622477,67947611926.2977,15976771784.14802,1445708.40293,11.54
2011,Post-Recession Efficiency,311591917,132192105.8,20268904.0,4854597.0,4817368.0,1033288.0,153329.15590788628,36723.804122953916,65049517956.52645,15579983738.795124,1422801.093,11.72
2012,Post-Recession Efficiency,313914040,132679481.6,18843521.0,4689844.0,4252794.0,885039.0,142022.8717565324,35347.16855571435,60027646421.931305,14939898833.45135,1374514.70798,11.88
2013,Post-Recession Efficiency,316128839,133166857.4,19968018.0,4759099.0,5037081.0,963073.0,149947.3546936762,35737.86370661924,63164177185.36587,15054301958.196228,1394812.12893,12.13
2014,Post-Recession Efficiency,318857056,133654233.2,20343258.0,4801395.0,5257900.0,1036131.0,152208.10828758695,35924.002443044206,63800557701.94403,15058142542.719833,1407208.31097,12.52
2015,Post-Recession Efficiency,320742673,134141609.0,19526914.0,4790777.0,4794495.0,1006953.0,145569.40345034923,35714.32485203007,60880311987.67243,14936512672.88653,1404096.49874,12.65
2016,AI & EV Era,323071342,135413034.4,18953307.0,4814530.0,4525157.0,877891.0,139966.63677156327,35554.40597969496,58666011298.51994,14902374101.631088,1411058.15299,12.55
2017,AI & EV Era,325122128,136684459.8,18480303.0,4703946.0,4592899.0,871086.0,135204.1265484081,34414.63650573684,56841111103.94799,14468243145.84949,1378647.74208,12.89
2018,AI & EV Era,326838199,137955885.2,20052839.0,5012546.0,5201735.0,1021686.0,145356.894132705,36334.41221252082,61354024900.865395,15336475403.843477,1469093.05894,12.87
2019,AI & EV Era,328239523,139227310.6,19598900.0,4914266.0,5232460.0,1044100.0,140769.07695436015,35296.70995454824,59709141120.09601,14971585246.911293,1440288.909,13.01
2020,AI & EV Era,329484123,140498736.0,18820303.0,4997232.0,4875710.0,913576.0,133953.5396247266,35567.80752817591,57120515637.10704,15166837037.546722,1464605.04578,13.15
2021,AI & EV Era,331893745,141000000.0,19033215.0,5017301.0,4914786.0,971763.0,134987.34042553193,35583.695035460994,57347314575.03063,15117190593.634117,1470486.88203,13.66
2022,AI & EV Era,333271411,142000000.0,19570724.0,5149504.0,5174778.0,996592.0,137822.0,36264.112676056335,58723080810.55293,15451382356.946302,1509233.16236,15.04
2023,AI & EV Era,334914895,143000000.0,18369074.0,4947486.0,4713330.0,960740.0,128455.06293706295,34597.8041958042,54846990307.79147,14772367768.235569,1450025.18389,16.0
2024,AI & EV Era,336000000,144000000.0,18424026.0,5059565.0,4579017.0,931203.0,127944.625,35135.868055555555,54833410714.28571,15058229166.666666,1482873.58588,16.48
