YEAR,LOCATION,LOCATION_CODE,PRICE_CENTS_KWH,CPI,CPI_DEFLATOR,REAL_PRICE_CENTS_KWH,NOMINAL_YOY_PCT,REAL_YOY_PCT,CPI_YOY_PCT,DELTA_VS_INFLATION,ERA
2005,Arkansas,AR,8.0,195.3,1.6088069636456732,12.8705,8.695652173913038,5.133965038392407,3.388035997882488,5.3076,Modern Era (1990-2009)
2006,Arkansas,AR,8.85,201.6,1.558531746031746,13.793,10.624999999999996,7.167553708092145,3.2258064516129004,7.3992,Modern Era (1990-2009)
2007,Arkansas,AR,8.73,207.3,1.5156777616980222,13.2319,-1.3559322033898202,-4.068005510041328,2.8273809523809534,-4.1833,Modern Era (1990-2009)
2008,Arkansas,AR,9.27,215.3,1.4593590339061773,13.5283,6.185567010309279,2.2400411127653674,3.8591413410516084,2.3264,Modern Era (1990-2009)
2009,Arkansas,AR,9.14,214.5,1.4648018648018648,13.3883,-1.4023732470334282,-1.0348676478197594,-0.3715745471435272,-1.0308,Modern Era (1990-2009)
2010,Arkansas,AR,8.86,218.1,1.4406235671710224,12.7639,-3.063457330415764,-4.663773593361364,1.6783216783216703,-4.7418,Recent (2010-2024)
2011,Arkansas,AR,9.02,224.9,1.3970653623832814,12.6015,1.8058690744920947,-1.2723383918708198,3.1178358551123386,-1.312,Recent (2010-2024)
2012,Arkansas,AR,9.3,229.6,1.3684668989547037,12.7267,3.10421286031044,0.993532515970319,2.089817696754115,1.0144,Recent (2010-2024)
2013,Arkansas,AR,9.59,233.0,1.3484978540772532,12.9321,3.118279569892457,1.613929769696787,1.4808362369338024,1.6374,Recent (2010-2024)
2014,Arkansas,AR,9.51,236.7,1.327418673426278,12.6238,-0.8342022940563076,-2.383990225872057,1.587982832618029,-2.4222,Recent (2010-2024)
2015,Arkansas,AR,9.82,237.0,1.3257383966244725,13.0188,3.259726603575186,3.129010282165434,0.12674271229404788,3.133,Recent (2010-2024)
